hour_of_day,avg_count
0,14005.285714285714
1,9996.009868421053
2,7205.608910891089
3,5676.503289473684
4,5401.6266447368425
5,6633.0098684210525
6,10637.537828947368
7,15883.396381578947
8,19284.300986842107
9,18251.776315789473
10,17116.75822368421
11,17293.44572368421
12,17780.373355263157
13,18384.560855263157
14,19830.64144736842
15,20328.092105263157
16,21065.85032894737
17,23392.886513157893
18,24476.652960526317
19,23493.652960526317
20,21949.24342105263
21,21491.559210526317
22,21282.490968801314
23,18518.71921182266
