date,count
2022-01-01,340866
2022-01-02,242251
2022-01-03,274548
2022-01-04,269512
2022-01-05,274985
2022-01-06,287825
2022-01-07,331838
2022-01-08,357436
2022-01-09,289999
2022-01-10,283142
2022-01-11,308566
2022-01-12,295828
2022-01-13,303788
2022-01-14,370800
2022-01-15,408033
2022-01-16,358073
2022-01-17,280300
2022-01-18,302185
2022-01-19,304981
2022-01-20,342393
2022-01-21,422045
2022-01-22,428227
2022-01-23,341983
2022-01-24,296474
2022-01-25,301161
2022-01-26,337512
2022-01-27,352017
2022-01-28,399612
2022-01-29,252594
2022-01-30,354565
2022-01-31,334430
2022-02-01,333171
2022-02-02,329646
2022-02-03,370937
2022-02-04,449762
2022-02-05,480120
2022-02-06,376630
2022-02-07,325109
2022-02-08,320382
2022-02-09,339638
2022-02-10,362451
2022-02-11,416298
2022-02-12,456236
2022-02-13,425695
2022-02-14,407101
2022-02-15,359390
2022-02-16,351168
2022-02-17,372385
2022-02-18,421693
2022-02-19,465019
2022-02-20,391532
2022-02-21,304924
2022-02-22,334843
2022-02-23,342984
2022-02-24,381385
2022-02-25,444399
2022-02-26,469799
2022-02-27,382931
2022-02-28,338529
2022-03-01,340387
2022-03-02,353023
2022-03-03,390922
2022-03-04,438471
2022-03-05,466203
2022-03-06,377295
2022-03-07,326340
2022-03-08,344402
2022-03-09,411900
2022-03-10,386263
2022-03-11,407323
2022-03-12,512254
2022-03-13,395644
2022-03-14,324783
2022-03-15,334494
2022-03-16,361115
2022-03-17,404690
2022-03-18,442531
2022-03-19,470530
2022-03-20,388602
2022-03-21,324301
2022-03-22,332784
2022-03-23,371523
2022-03-24,407287
2022-03-25,431185
2022-03-26,478320
2022-03-27,409981
2022-03-28,368892
2022-03-29,375984
2022-03-30,385275
2022-03-31,399737
2022-04-01,456520
2022-04-02,466961
2022-04-03,398035
2022-04-04,333470
2022-04-05,349815
2022-04-06,393060
2022-04-07,447206
2022-04-08,433898
2022-04-09,476843
2022-04-10,405474
2022-04-11,334817
2022-04-12,371254
2022-04-13,376318
2022-04-14,409571
2022-04-15,411872
2022-04-16,447391
2022-04-17,373813
2022-04-18,333543
2022-04-19,353786
2022-04-20,363366
2022-04-21,382297
2022-04-22,424712
2022-04-23,464234
2022-04-24,383310
2022-04-25,328776
2022-04-26,352084
2022-04-27,378132
2022-04-28,403534
2022-04-29,439703
2022-04-30,472567
2022-05-01,371536
2022-05-02,309935
2022-05-03,346901
2022-05-04,379044
2022-05-05,408126
2022-05-06,487177
2022-05-07,505091
2022-05-08,372390
2022-05-09,312144
2022-05-10,352809
2022-05-11,378659
2022-05-12,402723
2022-05-13,445509
2022-05-14,493480
2022-05-15,401197
2022-05-16,367834
2022-05-17,371839
2022-05-18,393168
2022-05-19,425523
2022-05-20,444150
2022-05-21,477421
2022-05-22,391850
2022-05-23,337207
2022-05-24,352459
2022-05-25,369694
2022-05-26,381089
2022-05-27,395820
2022-05-28,396966
2022-05-29,352606
2022-05-30,308401
2022-05-31,350902
2022-06-01,386421
2022-06-02,389733
2022-06-03,417485
2022-06-04,447597
2022-06-05,388705
2022-06-06,330570
2022-06-07,367858
2022-06-08,390959
2022-06-09,414172
2022-06-10,435170
2022-06-11,461056
2022-06-12,393628
2022-06-13,354876
2022-06-14,370648
2022-06-15,394385
2022-06-16,412147
2022-06-17,438283
2022-06-18,449733
2022-06-19,388644
2022-06-20,323097
2022-06-21,376087
2022-06-22,399826
2022-06-23,413573
2022-06-24,445366
2022-06-25,476098
2022-06-26,396229
2022-06-27,352055
2022-06-28,339170
2022-06-29,355237
2022-06-30,367695
2022-07-01,384931
2022-07-02,372005
2022-07-03,345628
2022-07-04,298772
2022-07-05,313058
2022-07-06,314076
2022-07-07,339860
2022-07-08,387768
2022-07-09,402260
2022-07-10,358983
2022-07-11,311963
2022-07-12,336372
2022-07-13,359938
2022-07-14,376322
2022-07-15,399487
2022-07-16,448543
2022-07-17,366636
2022-07-18,334948
2022-07-19,351649
2022-07-20,381509
2022-07-21,405778
2022-07-22,433965
2022-07-23,464267
2022-07-24,396873
2022-07-25,329829
2022-07-26,340518
2022-07-27,366473
2022-07-28,382949
2022-07-29,415713
2022-07-30,440557
2022-07-31,382533
2022-08-01,315415
2022-08-02,334387
2022-08-03,355981
2022-08-04,383596
2022-08-05,420855
2022-08-06,447661
2022-08-07,377194
2022-08-08,336213
2022-08-09,369698
2022-08-10,370238
2022-08-11,386895
2022-08-12,414916
2022-08-13,420911
2022-08-14,360187
2022-08-15,309736
2022-08-16,330196
2022-08-17,350835
2022-08-18,371563
2022-08-19,415071
2022-08-20,442474
2022-08-21,377201
2022-08-22,326487
2022-08-23,336793
2022-08-24,356396
2022-08-25,378746
2022-08-26,420814
2022-08-27,454877
2022-08-28,384662
2022-08-29,325966
2022-08-30,342223
2022-08-31,351657
2022-09-01,363731
2022-09-02,406631
2022-09-03,426809
2022-09-04,402576
