hour_of_day,average_price,count(hour_of_day)
0,26.37556420699447,8529219
1,25.481500337144542,6077574
2,25.894409951544976,4366599
3,28.373101386893048,3451314
4,34.54799037448963,3284189
5,33.82002564179086,4032870
6,31.17638653954091,6467623
7,29.293282295262593,9657105
8,27.70063462191757,11724855
9,26.541210115631873,11097080
10,26.866133456082917,10406989
11,27.658334817484313,10514415
12,28.436653422092984,10810467
13,29.19593512523084,11177813
14,29.91120779163149,12057030
15,30.33950687326109,12359480
16,29.91572486478043,12808037
17,29.421735685640847,14222875
18,27.75800796004935,14881805
19,25.969060886469354,14284141
20,25.404822742956316,13345140
21,26.335260187822975,13066868
22,27.58159638614832,12961037
23,27.756436683245436,11277900
