date,count(date),average_price
2022-01-01,340866,25.145771534874783
2022-01-02,242251,23.790745012414373
2022-01-03,274548,22.727898764528433
2022-01-04,269512,22.594517832241557
2022-01-05,274985,22.44214229868206
2022-01-06,287825,22.26694192652966
2022-01-07,331838,22.464020395510392
2022-01-08,357436,21.603753483155756
2022-01-09,289999,21.999509825906948
2022-01-10,283142,22.12157864253024
2022-01-11,308566,21.48843676880877
2022-01-12,295828,22.176735974969883
2022-01-13,303788,23.115277463242663
2022-01-14,370800,23.123202103572584
2022-01-15,408033,21.666030786736314
2022-01-16,358073,22.095835458145274
2022-01-17,280300,22.525152871935045
2022-01-18,302185,22.99564664031471
2022-01-19,304981,22.896786127671295
2022-01-20,342393,22.800981708170443
2022-01-21,422045,22.750120176758244
2022-01-22,428227,21.899195169855695
2022-01-23,341983,22.697071374905953
2022-01-24,296474,22.75560632636763
2022-01-25,301161,22.535836047839112
2022-01-26,337512,22.716545752460984
2022-01-27,352017,23.726804188445794
2022-01-28,399612,24.895435422358602
2022-01-29,252594,33.76258446360525
2022-01-30,354565,26.88036196466319
2022-01-31,334430,26.534061866463784
2022-02-01,333171,24.165333957646734
2022-02-02,329646,25.522195264019366
2022-02-03,370937,25.674871824591296
2022-02-04,449762,23.765497529799102
2022-02-05,480120,24.2698951303859
2022-02-06,376630,24.053003743728365
2022-02-07,325109,24.370779553938938
2022-02-08,320382,24.105332602959965
2022-02-09,339638,24.342681502074132
2022-02-10,362451,25.35993011469267
2022-02-11,416298,25.75878440443994
2022-02-12,456236,25.022694877202763
2022-02-13,425695,25.293994761510096
2022-02-14,407101,25.733586333602194
2022-02-15,359390,25.73542469184247
2022-02-16,351168,25.214954893387354
2022-02-17,372385,26.427707963534136
2022-02-18,421693,26.557344869358268
2022-02-19,465019,24.118954752387648
2022-02-20,391532,24.473506890880355
2022-02-21,304924,25.191332299208185
2022-02-22,334843,24.592761413571207
2022-02-23,342984,25.026492401987287
2022-02-24,381385,25.218311155395774
2022-02-25,444399,24.602746473323307
2022-02-26,469799,25.114861483308747
2022-02-27,382931,25.953110220893905
2022-02-28,338529,25.331309370848658
2022-03-01,340387,26.033551163830545
2022-03-02,353023,26.344285499816035
2022-03-03,390922,27.207005898868292
2022-03-04,438471,26.74838705410433
2022-03-05,466203,24.942961714099955
2022-03-06,377295,25.81959988867972
2022-03-07,326340,25.765746859103775
2022-03-08,344402,26.117821034720222
2022-03-09,411900,26.426624836123597
2022-03-10,386263,28.473487442492132
2022-03-11,407323,28.777362584481473
2022-03-12,512254,24.654336813372588
2022-03-13,395644,26.921739164498682
2022-03-14,324783,27.230999313387418
2022-03-15,334494,26.985812720107738
2022-03-16,361115,27.059890699636938
2022-03-17,404690,27.351803232101123
2022-03-18,442531,28.514253622907045
2022-03-19,470530,26.716870911521923
