pickup_location,average_price,Zone,Borough
153,18.55036526,Marble Hill,Manhattan
127,22.93412299,Inwood,Manhattan
74,23.66811358,East Harlem North,Manhattan
42,23.78716128,Central Harlem North,Manhattan
120,24.04833534,Highbridge Park,Manhattan
128,24.18993278,Inwood Hill Park,Manhattan
243,25.18639395,Washington Heights North,Manhattan
152,25.3140573,Manhattanville,Manhattan
116,25.36664161,Hamilton Heights,Manhattan
41,25.48830326,Central Harlem,Manhattan
244,25.84858602,Washington Heights South,Manhattan
75,27.19618973,East Harlem South,Manhattan
137,28.44685944,Kips Bay,Manhattan
4,28.53235257,Alphabet City,Manhattan
24,28.76079799,Bloomingdale,Manhattan
224,29.22215487,Stuy Town/Peter Cooper Village,Manhattan
79,29.31072064,East Village,Manhattan
107,29.35776117,Gramercy,Manhattan
166,29.45484706,Morningside Heights,Manhattan
229,29.46546175,Sutton Place/Turtle Bay North,Manhattan
141,29.86268431,Lenox Hill West,Manhattan
151,29.87854694,Manhattan Valley,Manhattan
232,30.0204065,Two Bridges/Seward Park,Manhattan
114,30.09728283,Greenwich Village South,Manhattan
249,30.14590874,West Village,Manhattan
50,30.22820124,Clinton West,Manhattan
233,30.25805753,UN/Turtle Bay South,Manhattan
143,30.35659423,Lincoln Square West,Manhattan
113,30.66853038,Greenwich Village North,Manhattan
234,30.89269833,Union Sq,Manhattan
140,31.00709124,Lenox Hill East,Manhattan
262,31.10403588,Yorkville East,Manhattan
263,31.19099292,Yorkville West,Manhattan
170,31.21785626,Murray Hill,Manhattan
237,31.32405312,Upper East Side South,Manhattan
45,31.34510971,Chinatown,Manhattan
144,31.37238641,Little Italy/NoLiTa,Manhattan
90,31.48279466,Flatiron,Manhattan
238,31.5127555,Upper West Side North,Manhattan
148,31.6973503,Lower East Side,Manhattan
158,31.95372804,Meatpacking/West Village West,Manhattan
211,32.01382383,SoHo,Manhattan
236,32.05977125,Upper East Side North,Manhattan
43,32.0686608,Central Park,Manhattan
239,32.49236563,Upper West Side South,Manhattan
246,32.51921039,West Chelsea/Hudson Yards,Manhattan
142,32.74081062,Lincoln Square East,Manhattan
125,33.73055996,Hudson Sq,Manhattan
231,33.76793868,TriBeCa/Civic Center,Manhattan
186,33.86396654,Penn Station/Madison Sq West,Manhattan
48,34.132619,Clinton East,Manhattan
162,34.25151721,Midtown East,Manhattan
164,34.29974481,Midtown South,Manhattan
68,34.58225648,East Chelsea,Manhattan
202,34.81536803,Roosevelt Island,Manhattan
209,35.4702816,Seaport,Manhattan
163,35.91254945,Midtown North,Manhattan
161,36.04444476,Midtown Center,Manhattan
13,36.67820149,Battery Park City,Manhattan
87,36.81712595,Financial District North,Manhattan
100,37.25668598,Garment District,Manhattan
12,37.53647907,Battery Park,Manhattan
230,38.54064317,Times Sq/Theatre District,Manhattan
88,38.67802146,Financial District South,Manhattan
261,39.7804931,World Trade Center,Manhattan
105,49.2440625,Governor's Island/Ellis Island/Liberty Island,Manhattan
194,51.40633868,Randalls Island,Manhattan
26,19.23201255,Borough Park,Brooklyn
217,19.2857391,South Williamsburg,Brooklyn
123,19.61483851,Homecrest,Brooklyn
76,19.72006742,East New York,Brooklyn
149,19.90389694,Madison,Brooklyn
72,20.02404735,East Flatbush/Remsen Village,Brooklyn
39,20.16415373,Canarsie,Brooklyn
35,20.17602951,Brownsville,Brooklyn
210,20.39093873,Sheepshead Bay,Brooklyn
178,20.40718887,Ocean Parkway South,Brooklyn
77,20.72587702,East New York/Pennsylvania Avenue,Brooklyn
63,21.08771208,Cypress Hills,Brooklyn
21,21.0955729,Bensonhurst East,Brooklyn
71,21.1123887,East Flatbush/Farragut,Brooklyn
222,21.19234559,Starrett City,Brooklyn
22,21.22545174,Bensonhurst West,Brooklyn
108,21.24802666,Gravesend,Brooklyn
91,21.31431384,Flatlands,Brooklyn
29,21.33746962,Brighton Beach,Brooklyn
177,21.59399772,Ocean Hill,Brooklyn
165,22.19489445,Midwood,Brooklyn
150,22.45287703,Manhattan Beach,Brooklyn
11,22.5507989,Bath Beach,Brooklyn
227,22.7831541,Sunset Park East,Brooklyn
85,23.00690035,Erasmus,Brooklyn
67,23.01751046,Dyker Heights,Brooklyn
61,23.27645299,Crown Heights North,Brooklyn
188,23.3255291,Prospect-Lefferts Gardens,Brooklyn
155,23.3530893,Marine Park/Mill Basin,Brooklyn
62,23.48367925,Crown Heights South,Brooklyn
17,23.51628106,Bedford,Brooklyn
89,23.7632875,Flatbush/Ditmas Park,Brooklyn
133,23.83193142,Kensington,Brooklyn
225,24.44884391,Stuyvesant Heights,Brooklyn
37,24.70937885,Bushwick South,Brooklyn
14,24.7594178,Bay Ridge,Brooklyn
36,24.83244441,Bushwick North,Brooklyn
111,25.46121129,Green-Wood Cemetery,Brooklyn
228,25.47580074,Sunset Park West,Brooklyn
49,26.03115846,Clinton Hill,Brooklyn
55,26.62121383,Coney Island,Brooklyn
