hour_of_day,average_profit,count(hour_of_day)
0,9.36691496255408,8529219
1,9.212403120060829,6077574
2,9.455587458340078,4366599
3,10.640388037715507,3451314
4,13.504743658175656,3284189
5,13.098623608001327,4032870
6,11.765024476534865,6467623
7,10.853186160862693,9657105
8,10.261199666008373,11724855
9,9.73067818110689,11097080
10,9.859231582737248,10406989
11,10.180342913038816,10514415
12,10.430206106729607,10810467
13,10.567152262253613,11177813
14,10.674206541743466,12057030
15,10.72703945958859,12359480
16,10.487464356169273,12808037
17,10.43835586968138,14222875
18,9.89428197721942,14881805
19,9.158904998907305,14284141
20,9.024645948262684,13345140
21,9.528931730235403,13066868
22,10.008531006430811,12961037
23,9.826210358311277,11277900
