date,hour_of_day,avg(average_speed)
2021-12-31,22,1.7052631578947368
2021-12-31,23,17.20745105100102
2022-01-01,0,15.78570801095032
2022-01-01,1,16.1656830744011
2022-01-01,2,16.609580028721115
2022-01-01,3,17.03348262993261
2022-01-01,4,17.778144824203114
2022-01-01,5,19.147095779224088
2022-01-01,6,20.112693168687738
2022-01-01,7,19.95821323331129
2022-01-01,8,19.767615163382253
2022-01-01,9,19.158948222700804
2022-01-01,10,18.28127335144871
2022-01-01,11,17.48354444802808
2022-01-01,12,16.842807484819627
2022-01-01,13,16.645120639565036
2022-01-01,14,16.48474261329983
2022-01-01,15,16.161391297381446
2022-01-01,16,15.377958745068396
2022-01-01,17,14.395090090761203
2022-01-01,18,14.233903306986699
2022-01-01,19,14.079298695674671
2022-01-01,20,14.644707385607083
2022-01-01,21,14.656153716635536
2022-01-01,22,14.596661213094174
2022-01-01,23,15.82157663812514
2022-01-02,0,16.738753904208274
2022-01-02,1,16.83805378851999
2022-01-02,2,17.75965985036057
2022-01-02,3,19.113546141837702
2022-01-02,4,21.353400702232836
2022-01-02,5,22.81638626473773
2022-01-02,6,22.604128475237918
2022-01-02,7,21.233989072758977
2022-01-02,8,19.662553927748483
2022-01-02,9,18.479955692101882
2022-01-02,10,17.29372549128739
2022-01-02,11,16.064738764154193
2022-01-02,12,15.621090494372414
2022-01-02,13,15.396769261179333
2022-01-02,14,15.115871395622548
2022-01-02,15,14.633969736567675
2022-01-02,16,14.348915414315167
2022-01-02,17,14.22761063946285
2022-01-02,18,14.77078879419188
2022-01-02,19,15.62375871336688
2022-01-02,20,16.314836978793576
2022-01-02,21,16.656907044377636
2022-01-02,22,17.49614862072129
2022-01-02,23,18.052928974947864
2022-01-03,0,18.559360324529752
2022-01-03,1,19.078311357508415
2022-01-03,2,18.78037002490226
2022-01-03,3,21.43591933695294
2022-01-03,4,22.729871308227978
2022-01-03,5,21.32379658481344
2022-01-03,6,17.952620911951186
2022-01-03,7,15.05969516389451
2022-01-03,8,14.462591337781479
2022-01-03,9,15.052432212679504
2022-01-03,10,14.885574400920236
2022-01-03,11,14.789947116677016
2022-01-03,12,14.495062088012203
2022-01-03,13,14.25993264443724
2022-01-03,14,13.441854557949474
2022-01-03,15,13.280733162993013
2022-01-03,16,13.065751506716122
2022-01-03,17,13.244028881481526
2022-01-03,18,14.112040799749751
2022-01-03,19,15.179294882513751
2022-01-03,20,15.759927313519508
2022-01-03,21,16.51397224710094
2022-01-03,22,17.151133147804977
2022-01-03,23,18.14570907936401
2022-01-04,0,18.321925336539266
2022-01-04,1,18.56204274762143
2022-01-04,2,19.057344134194505
2022-01-04,3,21.295084693433594
2022-01-04,4,22.65104530298589
2022-01-04,5,20.995893891295548
2022-01-04,6,17.377571071897112
2022-01-04,7,14.22103428957283
2022-01-04,8,13.453222459642575
2022-01-04,9,14.17634417657096
2022-01-04,10,14.31131325444776
2022-01-04,11,14.167989933761074
2022-01-04,12,14.024691724914161
2022-01-04,13,13.85966301121726
2022-01-04,14,13.147353230852696
2022-01-04,15,12.747819016859829
2022-01-04,16,12.647421851550384
2022-01-04,17,12.736869873098362
2022-01-04,18,13.624371182389984
2022-01-04,19,14.790307768685588
2022-01-04,20,15.770798171970046
2022-01-04,21,16.341919124824706
2022-01-04,22,16.884236853101473
2022-01-04,23,17.709429825659885
2022-01-05,0,17.938742284224695
2022-01-05,1,18.269447268071215
2022-01-05,2,18.688437780447483
2022-01-05,3,20.53593795300488
2022-01-05,4,22.430939483930707
2022-01-05,5,20.125723345537413
2022-01-05,6,16.056572333486436
2022-01-05,7,13.078348234627912
2022-01-05,8,12.743593775754036
2022-01-05,9,13.562338670914974
2022-01-05,10,13.377487866666696
2022-01-05,11,13.027352454542129
2022-01-05,12,13.32798093655221
2022-01-05,13,13.621618120649268
2022-01-05,14,12.880694521877862
2022-01-05,15,12.796489060901962
2022-01-05,16,12.861355826446061
2022-01-05,17,12.851813494190955
2022-01-05,18,13.771889399898738
2022-01-05,19,14.828387120763258
2022-01-05,20,15.6402597695861
2022-01-05,21,16.258973904378294
2022-01-05,22,16.982015252138336
2022-01-05,23,17.412292393609526
2022-01-06,0,18.023776038601955
2022-01-06,1,18.334727092910637
2022-01-06,2,18.810757055926825
2022-01-06,3,20.585469037466364
2022-01-06,4,22.23562632525543
2022-01-06,5,21.24691838766588
2022-01-06,6,17.239907790661338
2022-01-06,7,14.12564209199422
2022-01-06,8,13.673957117647708
2022-01-06,9,14.157926157220768
2022-01-06,10,14.007358643929562
2022-01-06,11,13.946251983863052
2022-01-06,12,13.854467226917366
2022-01-06,13,13.511988731825673
2022-01-06,14,12.573758459159716
2022-01-06,15,12.09196910546511
2022-01-06,16,12.174159254782563
2022-01-06,17,12.137670924959908
2022-01-06,18,12.90218055276742
2022-01-06,19,13.906171170247315
2022-01-06,20,14.905642537236101
2022-01-06,21,15.564554578600466
2022-01-06,22,16.096314132761933
2022-01-06,23,16.53400801918264
2022-01-07,0,16.756790350876138
2022-01-07,1,16.882298439955495
2022-01-07,2,16.41755813638184
2022-01-07,3,15.805667810465415
2022-01-07,4,16.984183606482084
2022-01-07,5,16.073886948026637
2022-01-07,6,14.414071377914263
2022-01-07,7,13.560054286457092
2022-01-07,8,13.679176090012842
2022-01-07,9,14.554939897992345
2022-01-07,10,14.594992909397561
2022-01-07,11,14.656784034635903
2022-01-07,12,14.578142271213451
2022-01-07,13,14.453763210364526
2022-01-07,14,13.96412733207815
2022-01-07,15,13.823048081375385
2022-01-07,16,13.964467534367696
2022-01-07,17,13.453754683003291
2022-01-07,18,13.629501382176773
2022-01-07,19,13.825974904751728
2022-01-07,20,14.471334633186999
2022-01-07,21,14.761588190283442
2022-01-07,22,15.136155732114519
2022-01-07,23,15.49580601121323
2022-01-08,0,15.892009729692706
2022-01-08,1,15.986195286542012
2022-01-08,2,16.29560254739143
2022-01-08,3,17.442861774866564
2022-01-08,4,19.591244583308733
2022-01-08,5,21.122541022832774
2022-01-08,6,20.63769717034614
2022-01-08,7,19.02737840471579
2022-01-08,8,17.362645444468953
2022-01-08,9,15.834221223322047
2022-01-08,10,15.10940759398342
2022-01-08,11,14.552360913151746
2022-01-08,12,13.7661835814693
2022-01-08,13,13.6823547694832
2022-01-08,14,13.563339762360043
2022-01-08,15,13.324764447058014
2022-01-08,16,13.174340267961377
2022-01-08,17,12.864131924251327
2022-01-08,18,12.986456457938257
2022-01-08,19,13.174649901707019
2022-01-08,20,13.800330006537305
2022-01-08,21,14.43876450635958
2022-01-08,22,14.76753051701059
2022-01-08,23,15.318427329880063
2022-01-09,0,15.913824958183158
2022-01-09,1,16.216506924755624
