pickup_location,avg_count,Borough,Zone
105,1.0,Manhattan,Governor's Island/Ellis Island/Liberty Island
199,1.0,Bronx,Rikers Island
2,1.5530546623794212,Queens,Jamaica Bay
110,1.5752508361204014,Staten Island,Great Kills Park
1,1.9,EWR,Newark Airport
99,8.303130148270181,Staten Island,Freshkills Park
8,13.454695222405272,Queens,Astoria Park
111,13.863486842105264,Brooklyn,Green-Wood Cemetery
207,18.598684210526315,Queens,Saint Michaels Cemetery/Woodside
30,18.63157894736842,Queens,Broad Channel
253,28.53542009884679,Queens,Willets Point
27,31.470394736842106,Queens,Breezy Point/Fort Tilden/Riis Beach
120,34.067434210526315,Manhattan,Highbridge Park
154,39.391447368421055,Brooklyn,Marine Park/Floyd Bennett Field
59,47.20888157894737,Bronx,Crotona Park
96,52.44991789819376,Queens,Forest Park/Highland Park
194,54.57565789473684,Manhattan,Randalls Island
12,68.29934210526316,Manhattan,Battery Park
46,69.5657894736842,Bronx,City Island
57,80.54440789473684,Queens,Corona
184,81.6282894736842,Bronx,Pelham Bay Park
128,94.29392446633825,Manhattan,Inwood Hill Park
204,100.70559210526316,Staten Island,Rossville/Woodrow
5,107.33388157894737,Staten Island,Arden Heights
58,123.30098684210526,Bronx,Country Club
176,129.07401315789474,Staten Island,Oakwood
31,153.39473684210526,Bronx,Bronx Park
44,154.1233552631579,Staten Island,Charleston/Tottenville
84,172.3087027914614,Staten Island,Eltingville/Annadale/Prince's Bay
240,179.13980263157896,Bronx,Van Cortlandt Park
6,185.32072368421052,Staten Island,Arrochar/Fort Wadsworth
54,202.36677631578948,Brooklyn,Columbia Street
64,202.94243421052633,Queens,Douglaston
101,220.49261083743843,Queens,Glen Oaks
172,224.32072368421052,Staten Island,New Dorp/Midland Beach
187,229.83223684210526,Staten Island,Port Richmond
19,239.440065681445,Queens,Bellerose
190,246.84375,Brooklyn,Prospect Park
15,249.91776315789474,Queens,Bay Terrace/Fort Totten
175,252.4046052631579,Queens,Oakland Gardens
109,259.10837438423647,Staten Island,Great Kills
202,260.4292763157895,Manhattan,Roosevelt Island
201,266.47861842105266,Queens,Rockaway Park
93,276.9917763157895,Queens,Flushing Meadows-Corona Park
115,277.6141215106732,Staten Island,Grymes Hill/Clifton
251,279.9655172413793,Staten Island,Westerleigh
245,288.84893267651887,Staten Island,West Brighton
214,293.0279605263158,Staten Island,South Beach/Dongan Hills
34,305.3125,Brooklyn,Brooklyn Navy Yard
9,315.95723684210526,Queens,Auburndale
98,324.3717105263158,Queens,Fresh Meadows
38,342.85361842105266,Queens,Cambria Heights
153,363.92598684210526,Manhattan,Marble Hill
73,381.2467105263158,Queens,East Flushing
122,382.92763157894734,Queens,Hollis
118,396.1543513957307,Staten Island,Heartland Village/Todt Hill
156,421.5855263157895,Staten Island,Mariners Harbor
150,431.86348684210526,Brooklyn,Manhattan Beach
178,439.7516447368421,Brooklyn,Ocean Parkway South
11,445.58456486042695,Brooklyn,Bath Beach
222,448.39080459770116,Brooklyn,Starrett City
192,460.15625,Queens,Queensboro Hill
203,462.7224958949097,Queens,Rosedale
252,464.63486842105266,Queens,Whitestone
221,472.98519736842104,Staten Island,Stapleton
183,485.1578947368421,Bronx,Pelham Bay
117,511.0311986863711,Queens,Hammels/Arverne
53,513.351395730706,Queens,College Point
193,514.7582236842105,Queens,Queensbridge/Ravenswood
257,525.09375,Brooklyn,Windsor Terrace
124,536.9095394736842,Queens,Howard Beach
86,537.200328407225,Queens,Far Rockaway
23,540.7286184210526,Staten Island,Bloomfield/Emerson Hill
219,551.2922824302135,Queens,Springfield Gardens South
131,561.0032894736842,Queens,Jamaica Estates
139,561.6469622331691,Queens,Laurelton
108,561.8305921052631,Brooklyn,Gravesend
24,571.9802955665025,Manhattan,Bloomingdale
52,581.7796052631579,Brooklyn,Cobble Hill
217,605.3667763157895,Brooklyn,South Williamsburg
180,612.5970394736842,Queens,Ozone Park
135,646.2368421052631,Queens,Kew Gardens Hills
195,671.8259441707718,Brooklyn,Red Hook
200,674.1003289473684,Bronx,Riverdale/North Riverdale/Fieldston
16,693.3070607553366,Queens,Bayside
67,694.5115131578947,Brooklyn,Dyker Heights
218,696.9490968801314,Queens,Springfield Gardens North
206,701.4614121510673,Staten Island,Saint George/New Brighton
171,717.720853858785,Queens,Murray Hill-Queens
43,744.2730263157895,Manhattan,Central Park
133,752.5205254515599,Brooklyn,Kensington
29,756.3136288998357,Brooklyn,Brighton Beach
106,767.3421052631579,Brooklyn,Gowanus
121,769.144499178982,Queens,Hillcrest/Pomonok
3,787.4942528735633,Bronx,Allerton/Pelham Gardens
147,797.5385878489327,Bronx,Longwood
83,801.4696223316913,Queens,Elmhurst/Maspeth
70,808.5690789473684,Queens,East Elmhurst
134,817.2220394736842,Queens,Kew Gardens
94,820.764802631579,Bronx,Fordham South
160,821.5779967159277,Queens,Middle Village
60,858.9293924466339,Bronx,Crotona Park East
191,861.2286184210526,Queens,Queens Village
152,866.5378289473684,Manhattan,Manhattanville
173,881.440065681445,Queens,North Corona
28,900.4391447368421,Queens,Briarwood/Jamaica Hills
102,903.3185550082102,Queens,Glendale
40,907.0444078947369,Brooklyn,Carroll Gardens
32,909.2857142857143,Bronx,Bronxdale
81,909.6748768472906,Bronx,Eastchester
259,910.3070607553366,Bronx,Woodlawn/Wakefield
196,924.3103448275862,Queens,Rego Park
248,930.3940886699507,Bronx,West Farms/Bronx River
149,936.8226600985222,Brooklyn,Madison
250,944.3404605263158,Bronx,Westchester Village/Unionport
212,950.7845394736842,Bronx,Soundview/Bruckner
227,952.3157894736842,Brooklyn,Sunset Park East
224,956.7733990147783,Manhattan,Stuy Town/Peter Cooper Village
182,994.9688013136289,Bronx,Parkchester
209,995.1231527093596,Manhattan,Seaport
55,1001.5796387520526,Brooklyn,Coney Island
136,1003.7898193760262,Bronx,Kingsbridge Heights
146,1004.3267651888342,Queens,Long Island City/Queens Plaza
45,1023.0328947368421,Manhattan,Chinatown
21,1031.0345394736842,Brooklyn,Bensonhurst East
126,1075.615763546798,Bronx,Hunts Point
77,1083.7651888341543,Brooklyn,East New York/Pennsylvania Avenue
215,1086.4860426929392,Queens,South Jamaica
88,1096.6371100164204,Manhattan,Financial District South
157,1103.671052631579,Queens,Maspeth
56,1113.8259441707717,Queens,Corona
20,1116.6929392446634,Bronx,Belmont
155,1122.7816091954023,Brooklyn,Marine Park/Mill Basin
10,1144.6486042692939,Queens,Baisley Park
185,1172.5822368421052,Bronx,Pelham Parkway
85,1184.0246305418718,Brooklyn,Erasmus
123,1202.8193760262725,Brooklyn,Homecrest
63,1208.8092105263158,Brooklyn,Cypress Hills
208,1212.1165845648604,Bronx,Schuylerville/Edgewater Park
258,1212.183908045977,Queens,Woodhaven
151,1223.326765188834,Manhattan,Manhattan Valley
119,1228.8899835796387,Bronx,Highbridge
210,1241.5254515599343,Brooklyn,Sheepshead Bay
165,1248.876644736842,Brooklyn,Midwood
220,1251.1576354679803,Bronx,Spuyten Duyvil/Kingsbridge
179,1260.2725779967159,Queens,Old Astoria
47,1275.4177631578948,Bronx,Claremont/Bathgate
189,1283.3338815789473,Brooklyn,Prospect Heights
51,1322.3021346469623,Bronx,Co-Op City
205,1323.1215106732348,Queens,Saint Albans
22,1355.55829228243,Brooklyn,Bensonhurst West
127,1357.9573070607553,Manhattan,Inwood
62,1369.6348684210527,Brooklyn,Crown Heights South
4,1377.512315270936,Manhattan,Alphabet City
167,1424.9013157894738,Bronx,Morrisania/Melrose
241,1443.141447368421,Bronx,Van Cortlandt Village
66,1469.7717569786535,Brooklyn,DUMBO/Vinegar Hill
242,1475.9967159277503,Bronx,Van Nest/Morris Park
174,1527.4269293924467,Bronx,Norwood
125,1555.6223316912972,Manhattan,Hudson Sq
235,1569.9326765188835,Bronx,University Heights/Morris Heights
262,1598.1200657894738,Manhattan,Yorkville East
78,1599.776683087028,Bronx,East Tremont
254,1601.5336617405583,Bronx,Williamsbridge/Olinville
197,1607.6354679802955,Queens,Richmond Hill
260,1615.735197368421,Queens,Woodside
177,1623.7651888341543,Brooklyn,Ocean Hill
71,1666.9014778325122,Brooklyn,East Flatbush/Farragut
159,1674.1149425287356,Bronx,Melrose South
261,1688.6699507389162,Manhattan,World Trade Center
116,1724.615763546798,Manhattan,Hamilton Heights
213,1728.688013136289,Bronx,Soundview/Castle Hill
166,1749.9885057471265,Manhattan,Morningside Heights
65,1756.7619047619048,Brooklyn,Downtown Brooklyn/MetroTech
18,1774.673234811166,Bronx,Bedford Park
247,1799.9967159277503,Bronx,West Concourse
223,1805.1494252873563,Queens,Steinway
232,1817.6765188834154,Manhattan,Two Bridges/Seward Park
169,1819.5730706075533,Bronx,Mount Hope
228,1847.287356321839,Brooklyn,Sunset Park West
92,1860.9852216748768,Queens,Flushing
33,1876.7668308702791,Brooklyn,Brooklyn Heights
91,1878.824302134647,Brooklyn,Flatlands
69,1926.64039408867,Bronx,East Concourse/Concourse Village
72,1978.2298850574712,Brooklyn,East Flatbush/Remsen Village
243,2058.5090311986864,Manhattan,Washington Heights North
26,2099.809523809524,Brooklyn,Borough Park
13,2124.1398026315787,Manhattan,Battery Park City
14,2154.8684210526317,Brooklyn,Bay Ridge
25,2163.022988505747,Brooklyn,Boerum Hill
226,2202.7631578947367,Queens,Sunnyside
168,2217.8042763157896,Bronx,Mott Haven/Port Morris
238,2218.2610837438424,Manhattan,Upper West Side North
35,2240.5402298850577,Brooklyn,Brownsville
49,2256.7077175697864,Brooklyn,Clinton Hill
143,2259.6223316912974,Manhattan,Lincoln Square West
263,2261.766830870279,Manhattan,Yorkville West
198,2324.1428571428573,Queens,Ridgewood
137,2360.467105263158,Manhattan,Kips Bay
97,2372.0985221674878,Brooklyn,Fort Greene
95,2372.215106732348,Queens,Forest Hills
216,2375.7093596059112,Queens,South Ozone Park
140,2390.6814449917897,Manhattan,Lenox Hill East
75,2414.5155993431854,Manhattan,East Harlem South
130,2448.5155993431854,Queens,Jamaica
41,2464.7257799671593,Manhattan,Central Harlem
100,2526.825944170772,Manhattan,Garment District
50,2530.8735632183907,Manhattan,Clinton West
74,2610.1806239737275,Manhattan,East Harlem North
233,2645.9588815789475,Manhattan,UN/Turtle Bay South
82,2655.512315270936,Queens,Elmhurst
39,2765.448275862069,Brooklyn,Canarsie
229,2772.9226973684213,Manhattan,Sutton Place/Turtle Bay North
87,2785.5648604269295,Manhattan,Financial District North
239,2821.385878489327,Manhattan,Upper West Side South
244,2844.1494252873563,Manhattan,Washington Heights South
113,2877.024630541872,Manhattan,Greenwich Village North
